Number,Station No,Dam Name,Reservoir,Latitude,Longitude,Province,WMA,Place,Catchment Area,"FSC 1,000,000m³ (million m³)",Type,actual lvl 20151130 (million m³),actual lvl 20151207 (million m³),actual lvl 20151214 (million m³),actual lvl 20151221 (million m³),actual lvl 20151228 (million m³),actual lvl 20160104 (million m³),actual lvl 20160111 (million m³),actual lvl 20160118 (million m³),actual lvl 20160125 (million m³),actual lvl 20160201 (million m³),actual lvl 20160208 (million m³),actual lvl 20160215 (million m³),actual lvl 20160229 (million m³),actual lvl 20160307 (million m³),actual lvl 20160314 (million m³),actual lvl 20160321 (million m³),20151123 (percent full),20151130 (percent full),20151207  (percent full),20151214  (percent full),20151221 (percent full),20151228 (percent full),20150104 (percent full),20160111 (percent full),20160118 (percent full),20160125 (percent full),20160201 (percent full),20160208 (percent full),20160215 (percent full),20160229 (percent full),20160307 (percent full),20160314 (percent full),20160321 (percent full),2015 week 11 (percent full)
41,B2R001,Bronkhorstspruit Dam ,Bronkhorstspruit,25.887170000000001,28.721499999999999,G,4,Bronkhorstspruit @ Bronkhorstspruit Dam,1244,56.994,,40.911999999999999,40.353000000000002,40.076000000000001,39.868000000000002,,,36.43,37.091000000000001,,39.045000000000002,38.433999999999997,38.366,37.826000000000001,36.826000000000001,43.34,45.084000000000003,72.8,71.8,70.8,70.3,70,,,63.9,65.099999999999994,,68.5,67.400000000000006,67.3,66.400000000000006,64.599999999999994,76,79.099999999999994,95.3
42,B3R001,Rust Der Winter Dam ,Rust De Winter,25.234010000000001,28.51755,LP,4,Elands River @ Rust De Winter Dam,1133,28.186,,19.405000000000001,18.965,18.57,18.251999999999999,,,17.526,17.594000000000001,,17.152999999999999,16.82,16.556999999999999,16.231999999999999,16.135000000000002,16.103000000000002,16.425999999999998,69.5,68.8,67.3,65.900000000000006,64.8,,,62.2,62.4,,60.9,59.7,58.7,57.6,57.2,57.1,58.3,93.7
43,B3R002,Loskop Dam ,Loskop,25.41817,29.358830000000001,M,4,Olifants River @ Loskop Dam,12250,361.51,,235.83,229.02,224.99,231.34,,,219.32,221.96,,217.81,213.13,208.87,201.97,199.27,202.33,219.88,66.7,65.2,63.4,62.2,64,,,60.7,61.4,,60.2,59,57.8,55.9,55.1,56,60.8,96.5
46,B3R005,Rhenosterkop Dam ,Rhenosterkop,25.09854,28.918140000000001,M,4,Elands River @ Rhenosterkop Dam,3646,204.58,,61.448999999999998,60.686999999999998,60.234000000000002,59.783000000000001,,,57.277000000000001,57.713999999999999,,55.981999999999999,,54.012999999999998,53.323,52.369,53.735999999999997,53.460999999999999,30.6,30,29.7,29.4,29.2,,,28,28.2,,27.4,,26.4,26.1,25.6,26.3,26.1,45.2
47,B4R001,Tonteldoos Dam ,Tonteldoos,25.279299999999999,29.942340000000002,LP,4,Tonteldoos River @ Tonteldoos Dam,55,0.189,,0.153,0.156,0.191,0.189,,,0.19,0.19,,0.19,0.19,0.19,0.19,0.19,0.19,0.19,92.1,81.099999999999994,82.5,101,100,,,100.3,100.3,,100.3,100.3,100.3,100.3,100.3,100.5,100.2,100.4
48,B4R002,Vlugkraal Dam ,Vlugkraal,25.231349999999999,29.949020000000001,LP,4,Vlugkraal River @ Vlugkraal Dam,15,0.443,,0.333,0.325,0.322,0.336,,,0.32,0.31,,0.3,0.314,0.311,0.298,0.293,0.297,0.305,74.8,75,73.2,72.599999999999994,75.7,,,72.2,69.8,,67.7,70.900000000000006,70.2,67.099999999999994,66.099999999999994,66.900000000000006,68.8,100.4
49,B4R004,Buffelskloof Dam ,Buffelskloof,24.95515,30.265470000000001,M,4,Waterval River @ Buffelskloof Dam,281,5.244,,2.31,2.26,2.283,2.365,,,2.108,2.055,,1.759,1.66,1.604,1.612,1.555,1.756,2.342,46.2,44.1,43.1,43.5,45.1,,,40.200000000000003,39.200000000000003,,33.5,31.7,30.6,30.7,29.6,33.5,44.7,100.8
50,B4R007,De Hoop Dam,De Hoop,24.954809999999998,29.95628,LP,4,Steelpoort River @ DE HOOP DAM,2864,348.7,,326.10000000000002,325.62,325.29000000000002,327.74,,,326.27,325.77999999999997,,323.83,323.51,322.54000000000002,322.38,321.74,322.87,324.97000000000003,94.1,93.5,93.4,93.3,94,,,93.6,93.4,,92.9,92.8,92.5,92.5,92.3,92.6,93.2,100.2
51,B5R002,Flag Boshielo Dam ,Flag Boshielo,24.78069,29.42576,LP,4,Olifants River @ Flag Boshielo Dam,23555,185.13,,102.7,100.77,99.5,98.739000000000004,,,91.888000000000005,90.197000000000003,,84.016000000000005,82.328999999999994,80.225999999999999,78.159000000000006,74.352999999999994,,78.408000000000001,57,55.5,54.4,53.7,53.3,,,49.6,48.7,,45.4,44.5,43.3,42.2,40.200000000000003,,42.4,96.8
53,B6R001,Ohrigstad Dam ,Ohrigstad,24.933140000000002,30.632010000000001,M,4,Ohrigstad River @ Ohrigstad Dam,83,13.448,,1.302,1.289,1.373,1.426,,,1.354,1.309,,1.221,1.175,1.146,1.07,1.012,1.038,1.108,9.9,9.699999999999999,9.6,10.199999999999999,10.6,,,10.1,9.699999999999999,,9.1,8.699999999999999,8.5,8,7.5,7.7,8.199999999999999,55.2
54,B6R003,Blyderivierpoort Dam ,Blyderivierpoort,24.536619999999999,30.79805,M,4,Blyde River @ Blyderivierpoort Dam,2169,54.369,,35.103999999999999,33.837000000000003,33.567999999999998,33.567999999999998,,,30.466999999999999,29.699000000000002,,29.808,29.481000000000002,29.099,27.9,27.195,32.292000000000002,38.07,67.400000000000006,64.599999999999994,62.2,61.7,61.7,,,56,54.6,,54.8,54.2,53.5,51.3,50,59.4,70,100.4
55,B7R001,Klaserie Dam ,Klaserie,24.523890000000002,31.070740000000001,LP,4,Klaserie River @ Klaserie Dam,164,5.604,,4.319,4.233,4.166,4.1,,,3.648,,,3.3,3.234,3.035,2.8,2.748,2.829,3.283,86.3,77.099999999999994,75.5,74.3,73.2,,,65.099999999999994,,,58.9,57.7,54.2,50,49,50.5,58.6,100.5
57,B7R003,Tours Dam ,Tours,24.09853,30.254950000000001,LP,4,Ngwabitsi River @ Tours Dam,45,6.084,,2.793,2.731,2.707,2.691,,,2.452,2.375,,2.209,2.135,2.074,1.988,1.95,2.272,3.064,46.9,45.9,44.9,44.5,44.2,,,40.299999999999997,39,,36.299999999999997,35.1,34.1,32.700000000000003,32,37.299999999999997,50.4,83.6
58,B8R001,Ebenezer Dam ,Ebenezer,23.940110000000001,29.984200000000001,LP,2,Groot-Letaba River @ Ebenezer Dam,166,69.138999999999996,,54.759,54.427,54.095999999999997,53.536000000000001,,,51.747999999999998,51.298999999999999,,50.281999999999996,49.872,49.37,48.405999999999999,48.652999999999999,50.853000000000002,54.393000000000001,79.8,79.2,78.7,78.2,77.400000000000006,,,74.8,74.2,,72.7,72.099999999999994,71.400000000000006,70,70.400000000000006,73.599999999999994,78.7,97.4
59,B8R002,Hans Merensky Dam ,Hans Merensky,23.749410000000001,30.108560000000001,LP,2,Ramadiepa River @ Hans Merensky Dam,86,1.225,,1.139,1.102,1.072,1.116,,,0.931,1.012,,1.037,1.037,1.02,1.046,1.102,1.268,1.23,87.1,93,90,87.5,91.1,,,76,82.6,,84.7,84.7,83.3,85.4,90,103.5,100.4,101.4
60,B8R003,Magoebaskloof Dam ,Magoebaskloof,23.81598,30.056080000000001,LP,2,Politsi River @ Magoebaskloof Dam,66,4.84,,4.844,4.84,4.848,4.848,,,4.84,4.853,,4.84,4.844,4.84,4.853,4.84,4.889,4.893,100.3,100.1,100,100.2,100.2,,,100,100.3,,100,100.1,100,100.3,100,101,101.1,100.3
61,B8R004,Vergelegen Dam ,Vergelegen,23.774999999999999,30.08193,LP,2,Politsi Tributary @ Vergelegen Dam,10,0.254,,0.224,0.233,0.246,0.258,,,0.254,0.256,,0.257,0.257,0.258,0.241,0.249,0.257,0.256,95.2,88.3,92,97.1,101.6,,,100,101,,101.3,101.3,101.6,95.2,98,101.3,101,96.2
62,B8R005,Tzaneen Dam ,Tzaneen,23.797630000000002,30.167349999999999,LP,2,Groot-Letaba River @ Tzaneen Dam,650,156.53,,71.692999999999998,70.424999999999997,68.893000000000001,67.040999999999997,,,60.350999999999999,58.655999999999999,,54.878,53.103000000000002,51.246000000000002,48.256999999999998,46.822000000000003,53.987000000000002,59.780999999999999,46.8,45.8,45,44,42.8,,,38.6,37.5,,35.1,33.9,32.700000000000003,30.8,29.9,34.5,38.200000000000003,77
63,B8R006,Dap Naude Dam ,Dap Naude,23.814209999999999,29.966380000000001,LP,2,Broederstroom River @ Dap Naude Dam,14,1.936,,1.619,1.596,1.572,1.567,,,1.479,1.731,,1.738,1.535,1.558,1.598,1.602,1.836,1.942,83.5,83.6,82.4,81.2,80.900000000000006,,,76.400000000000006,89.4,,89.8,79.3,80.5,82.5,82.8,94.8,100.3,98.6
64,B8R007,Middel-Letaba Dam ,Middel-Letaba,23.275790000000001,30.405989999999999,LP,2,Middel-Letaba River @ Middel-Letaba Dam,1800,171.93,,51.926000000000002,51.192999999999998,50.648000000000003,50.106000000000002,,,47.62,47.357999999999997,,46.329000000000001,45.819000000000003,45.228000000000002,44.390999999999998,43.645000000000003,45.819000000000003,51.011000000000003,30.6,30.2,29.8,29.5,29.1,,,27.7,27.5,,26.9,26.6,26.3,25.8,25.4,26.6,29.7,42
66,B8R009,Nsami Dam ,Nsami,23.254429999999999,30.77055,LP,2,Nsama River @ Nsami Dam,339,21.873999999999999,,6.315,6.149,5.918,,,,4.811,4.688,,4.252,4.194,3.855,3.356,3.152,3.443,3.855,30.4,28.9,28.1,27.1,,,,22,21.4,,19.399999999999999,19.2,17.600000000000001,15.3,14.4,15.7,17.600000000000001,70.099999999999994
69,C1R001,Vaal Dam ,Vaal,26.882339999999999,28.116070000000001,FS,8,Vaal River @ Vaal Dam,38600,2603.4499999999998,,1400.57,1414.47,1416.61,1414.47,,,1380.46,1358.23,,1358.23,1342.54,1315.68,1294.31,1265.27,1248.49,1266.26,53.8,53.8,54.3,54.4,54.3,,,53,52.2,,52.2,51.6,50.5,49.7,48.6,48,48.6,79.400000000000006
70,C1R002,Grootdraai Dam ,Grootdraai,26.918620000000001,29.294779999999999,M,8,Vaal River @ Grootdraai Dam,7982,349.53,,214.02,212.12,207.01,198.44,,,189.76,195.03,,229.15,228.29,225.72,226.29,224.02,226.01,295.92,61.9,61.2,60.7,59.2,56.8,,,54.3,55.8,,65.599999999999994,65.3,64.599999999999994,64.7,64.099999999999994,64.7,84.7,95.1
73,C2R001,Boskop Dam ,Boskop,26.561710000000001,27.11148,NW,8,Mooi River @ Boskop Dam,3297,21.026,,19.628,19.449000000000002,17.709,17.113,,,,14.613,,14.852,14.702999999999999,14.643000000000001,14.702999999999999,14.733000000000001,14.583,14.583,96.8,93.4,92.5,84.2,81.400000000000006,,,,69.5,,70.599999999999994,69.900000000000006,69.599999999999994,69.900000000000006,70.099999999999994,69.400000000000006,69.400000000000006,101.2
74,C2R002,Johan Neser Dam ,Johan Neser,26.81691,26.61373,NW,9,Skoon Spruit @ Johan Neser Dam,5644,5.672,,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,6.8
75,C2R003,Klerkskraal Dam ,Klerkskraal,26.25254,27.159759999999999,NW,8,Mooi River @ Klerkskraal Dam,1324,7.922,,5.532,5.386,4.962,,,,,3.43,,3.341,3.232,3.211,3.297,3.341,3.825,4.719,73.599999999999994,69.8,68,62.6,,,,,43.3,,42.2,40.799999999999997,40.5,41.6,42.2,48.3,59.6,85
76,C2R004,Potchefstroom Dam ,Potchefstroom,26.674019999999999,27.0959,NW,8,Mooi River @ Potchefstroom Dam,3632,2.027,,1.234,1.293,,1.415,,,1.75,1.78,,1.426,,0.983,0.828,,1.232,2.05,,60.9,63.8,,69.8,,,86.3,87.8,,70.3,,48.5,40.9,,60.8,101.2,62
77,C2R005,Klipdrift Dam ,Klipdrift,26.616499999999998,27.297270000000001,NW,8,Loop Spruit @ Klipdrift Dam,881,13.301,,10.355,9.875999999999999,9.64,9.679,,,8.836,9.138999999999999,,9.718999999999999,9.446,9.215,8.987,8.836,8.798,9.215,78.2,77.900000000000006,74.3,72.5,72.8,,,66.400000000000006,68.7,,73.099999999999994,71,69.3,67.599999999999994,66.400000000000006,66.099999999999994,69.3,86.9
78,C2R006,Elandskuil Dam ,Elandskuil,26.34807,26.778649999999999,NW,9,Swartleegte River @ Elandskuil Dam,29,1.181,,0.246,,0.101,0.083,,,0.11,0.576,,0.363,0.285,,0.088,0.087,0.106,0.093,31.7,20.8,,8.5,7,,,9.300000000000001,48.8,,30.7,24.2,,7.4,7.4,9,7.9,13.1
79,C2R007,Rietspruit Dam ,Rietspruit,26.411259999999999,26.794799999999999,NW,9,Rietspruit @ Rietspruit Dam,375,7.275,,2.007,1.824,1.472,,,,0.71,,,0.871,0.601,,,0,0,0,28.8,27.6,25.1,20.2,,,,9.800000000000001,,,12,8.300000000000001,,0,0,0,0,48.2
82,C3R002,Spitskop Dam ,Spitskop,28.124939999999999,24.502800000000001,NC,10,Harts River @ Spitskop Dam,26920,57.831000000000003,,27.058,25.579000000000001,24.109000000000002,22.515999999999998,,,18.687000000000001,18.273,,20.841999999999999,19.388999999999999,18.273,16.675999999999998,16.036999999999999,15.911,16.675999999999998,48.2,46.8,44.2,41.7,38.9,,,32.299999999999997,31.6,,36,33.5,31.6,28.8,27.7,27.5,28.8,78
,C3R006,Taung Dam,Taung,,,NW,10,,,61.366,,,,,,,,,,,,,,,50.508000000000003,50.304000000000002,50.140999999999998,,,,,,,,,,,,,,82.1,82.3,82,81.7,92
